frame_id,c1_rater1,c1_rater2,c1_rater3,c2_rater1,c2_rater2,c2_rater3,c3_rater1,c3_rater2,c3_rater3,dir_name
0,0,0,0,0,0,0,0,0,0,61f7f45c-b960-4ac4-8a4c-bb8244662c94
150,0,0,1,1,0,0,0,0,0,61f7f45c-b960-4ac4-8a4c-bb8244662c94
300,0,0,0,0,0,0,0,0,0,61f7f45c-b960-4ac4-8a4c-bb8244662c94
450,0,0,0,0,0,0,0,0,0,61f7f45c-b960-4ac4-8a4c-bb8244662c94
600,0,0,0,0,0,0,0,0,0,61f7f45c-b960-4ac4-8a4c-bb8244662c94
750,0,0,0,0,0,0,0,0,0,61f7f45c-b960-4ac4-8a4c-bb8244662c94
900,0,0,0,0,0,0,0,0,0,61f7f45c-b960-4ac4-8a4c-bb8244662c94
1050,0,0,1,1,1,1,0,0,1,61f7f45c-b960-4ac4-8a4c-bb8244662c94
1200,1,1,1,1,1,1,0,0,1,61f7f45c-b960-4ac4-8a4c-bb8244662c94
1350,1,1,1,1,1,1,0,0,0,61f7f45c-b960-4ac4-8a4c-bb8244662c94
1500,1,1,1,1,1,1,0,0,1,61f7f45c-b960-4ac4-8a4c-bb8244662c94
1650,0,0,0,1,0,0,0,0,0,61f7f45c-b960-4ac4-8a4c-bb8244662c94
1800,0,0,0,0,0,0,0,0,0,61f7f45c-b960-4ac4-8a4c-bb8244662c94
1950,1,0,0,1,0,0,0,0,0,61f7f45c-b960-4ac4-8a4c-bb8244662c94
2100,1,0,0,1,0,0,0,0,0,61f7f45c-b960-4ac4-8a4c-bb8244662c94
2250,0,1,1,0,1,1,0,0,1,61f7f45c-b960-4ac4-8a4c-bb8244662c94
2400,0,1,1,0,1,1,1,0,1,61f7f45c-b960-4ac4-8a4c-bb8244662c94
2550,1,1,1,1,1,1,1,0,1,61f7f45c-b960-4ac4-8a4c-bb8244662c94
0,0,0,0,0,0,0,0,0,1,2706d471-7e11-42e4-831d-17b7e28ba77c
150,0,0,0,0,0,0,0,0,1,2706d471-7e11-42e4-831d-17b7e28ba77c
300,0,0,0,0,0,0,0,0,1,2706d471-7e11-42e4-831d-17b7e28ba77c
450,0,0,0,0,0,0,0,0,1,2706d471-7e11-42e4-831d-17b7e28ba77c
600,1,0,1,1,0,0,0,0,0,2706d471-7e11-42e4-831d-17b7e28ba77c
750,1,0,1,1,1,1,0,0,1,2706d471-7e11-42e4-831d-17b7e28ba77c
900,1,1,1,1,1,1,1,0,1,2706d471-7e11-42e4-831d-17b7e28ba77c
1050,1,1,1,1,1,1,1,0,1,2706d471-7e11-42e4-831d-17b7e28ba77c
1200,1,1,1,1,1,1,1,0,1,2706d471-7e11-42e4-831d-17b7e28ba77c
1350,1,1,1,1,0,1,1,1,1,2706d471-7e11-42e4-831d-17b7e28ba77c
1500,1,0,1,1,0,1,1,1,1,2706d471-7e11-42e4-831d-17b7e28ba77c
1650,1,1,1,1,1,1,1,1,1,2706d471-7e11-42e4-831d-17b7e28ba77c
1800,0,0,0,1,0,0,0,0,0,2706d471-7e11-42e4-831d-17b7e28ba77c
1950,1,1,1,1,0,1,1,1,1,2706d471-7e11-42e4-831d-17b7e28ba77c
2100,1,1,1,1,1,1,1,1,1,2706d471-7e11-42e4-831d-17b7e28ba77c
2250,1,1,1,1,1,1,1,1,1,2706d471-7e11-42e4-831d-17b7e28ba77c
2400,1,1,1,1,0,1,1,1,1,2706d471-7e11-42e4-831d-17b7e28ba77c
2550,0,0,0,0,0,1,1,1,1,2706d471-7e11-42e4-831d-17b7e28ba77c
0,0,0,0,0,0,0,1,1,0,7aacf762-fa96-46f6-bf70-fbfc660ed2e0
